chan_id,spacecraft,anomaly_sequences,class,num_values,type,class1,class2,Class_Or,L,,MA,,F,
A-1,SMAP,"[[4690, 4774]]",[point],8640,[binary],point,point,point,1,1,1,0,1,0
A-2,SMAP,"[[4450, 4560]]",[contextual],7914,"[continuous,periodic]",wave,frequency,wave,1,0,1,1,1,1
A-3,SMAP,"[[4575, 4760]]",[contextual],8205,"[continuous,periodic]",wave,frequency,wave,1,0,1,1,1,1
A-4,SMAP,"[[4550, 4660]]",[contextual],8080,"[continuous,periodic]",wave,frequency,wave,1,0,1,1,1,1
A-5,SMAP,"[[2750, 2800]]",[point],4693,[continuous],magnitude,point,magnitude,1,1,1,0,1,1
A-6,SMAP,"[[1890, 1930]]",[point],4453,[continuous],magnitude,point,magnitude,1,1,1,0,1,1
A-7,SMAP,"[[6200, 8600]]",[contextual],8631,[continuous],magnitude,magnitude,magnitude,0,0,1,1,1,0
B-1,SMAP,"[[5060, 5130]]",[point],8044,[binary],change,change,change,1,1,1,0,1,1
D-1,SMAP,"[[5250, 8508]]",[point],8509,[continuous],magnitude,magnitude,magnitude,1,0,1,1,1,1
D-11,SMAP,"[[4270, 4330]]",[point],7431,[continuous],change,change,change,1,1,1,0,1,1
D-12,SMAP,"[[5178, 7917]]",[point],7918,[continuous],magnitude,magnitude,magnitude,1,1,1,1,1,1
D-13,SMAP,"[[5070, 5230]]",[point],7663,[continuous],change,change,change,1,1,1,0,1,1
D-2,SMAP,"[[4319, 8536]]",[point],8595,[binary],magnitude,magnitude,magnitude,1,0,1,1,1,0
D-3,SMAP,"[[5225, 8500]]",[point],8640,[continuous],magnitude,magnitude,magnitude,1,1,1,1,0,0
D-4,SMAP,"[[5225, 8472]]",[point],8473,[continuous],magnitude,magnitude,magnitude,1,1,1,1,0,0
D-5,SMAP,"[[4800, 4850]]",[point],7628,[binary],change,change,point,1,1,1,0,1,0
D-6,SMAP,"[[4870, 4950]]",[point],7884,[continuous],point,point,point,1,1,1,0,1,0
D-7,SMAP,"[[4940, 7641]]",[point],7642,[continuous],magnitude,magnitude,magnitude,1,1,1,1,1,1
D-8,SMAP,"[[4370, 4420]]",[point],7874,[binary],point,point,point,1,1,1,0,1,0
D-9,SMAP,"[[6250, 7405]]",[point],7406,[binary],magnitude,magnitude,magnitude,1,0,1,1,1,0
E-1-1,SMAP,"[[5000, 5030]]",[contextual],5310,"[binary,periodic]",frequency,frequency,frequency,1,1,0,0,0,0
E-1-2,SMAP,"[[300,570]]",[contextual],3206,"[binary,periodic]",wave,frequency,frequency,1,0,1,1,0,0
E-10-1,SMAP,"[[5000,5050]]",[contextual],5325,"[binary,periodic]",frequency,frequency,frequency,1,1,0,0,1,1
E-10-2,SMAP,"[[276,546]]",[contextual],3180,"[binary,periodic]",wave,frequency,frequency,1,0,1,1,1,1
E-11-1,SMAP,"[[5000, 5050]]",[contextual],5332,"[binary,periodic]",frequency,frequency,frequency,1,1,0,0,1,1
E-11-2,SMAP,"[[282,525]]",[contextual],3182,"[binary,periodic]",wave,frequency,frequency,1,0,1,1,1,1
E-12-1,SMAP,"[[5000,5050]]",[contextual],5330,"[binary,periodic]",frequency,frequency,frequency,1,1,0,0,1,1
E-12-2,SMAP,"[[280,811]]",[contextual],3182,"[binary,periodic]",wave,frequency,frequency,1,0,1,0,1,1
E-13-1,SMAP,"[[5309, 5410]]",[contextual],5505,"[continuous,periodic]",wave,frequency,frequency,1,0,0,0,1,1
E-13-2,SMAP,"[[95,135]]",[contextual],539,"[continuous,periodic]",wave,frequency,frequency,0,0,0,0,1,1
E-13-3,SMAP,"[[405,525]]",[contextual],2596,"[continuous,periodic]",wave,frequency,wave,1,0,0,0,1,0
E-2,SMAP,"[[5598, 6995]]",[point],8532,"[continuous,periodic]",wave,frequency,magnitude,1,0,1,0,1,0
E-3,SMAP,"[[5094, 8306]]",[point],8307,[continuous],magnitude,magnitude,magnitude,1,0,1,1,1,0
E-4,SMAP,"[[5450, 8261]]",[point],8354,[continuous],magnitude,magnitude,magnitude,1,1,1,1,0,0
E-5,SMAP,"[[5600, 5920]]",[point],8294,"[binary,periodic]",wave,frequency,frequency,1,0,1,1,1,1
E-6,SMAP,"[[5610, 5675]]",[point],8300,[continuous],point,point,point,1,1,1,1,1,1
E-7,SMAP,"[[5394, 5674]]",[point],8310,[continuous],magnitude,magnitude,magnitude,1,1,1,1,1,1
E-8,SMAP,"[[5400, 6022]]",[point],8532,[continuous],magnitude,wave,wave,1,0,1,1,0,0
E-9,SMAP,"[[5550, 5900]]",[point],8302,[continuous],change,wave,wave,1,0,1,0,1,1
F-1,SMAP,"[[5392, 5492]]",[point],8584,[continuous],point,point,point,0,0,0,0,0,0
F-2,SMAP,"[[5669, 8625]]",[point],8626,[continuous],magnitude,wave,magnitude,1,0,1,1,1,0
F-3,SMAP,"[[5600, 5640]]",[contextual],8376,[continuous],change,change,change,1,1,0,0,1,1
G-1,SMAP,"[[4770, 4890]]",[contextual],8469,[continuous],wave,frequency,wave,0,0,0,0,1,1
G-2,SMAP,"[[4030, 4070]]",[point],7361,[binary],point,point,point,1,1,1,1,1,1
G-3,SMAP,"[[4200, 4250]]",[point],7907,[binary],point,point,point,1,1,1,1,1,1
G-4,SMAP,"[[4690, 4720]]",[point],7632,[continuous],point,point,point,1,1,1,1,1,1
G-6,SMAP,"[[5600, 5700]]",[point],8640,[continuous],change,change,change,1,1,0,0,1,1
G-7-1,SMAP,"[[3650,3750]]",[contextual],4400,"[continuous,periodic]",frequency,frequency,frequency,0,0,1,1,1,1
G-7-2,SMAP,"[[650,700]]",[point],1930,"[continuous,periodic]",magnitude,point,point,1,1,1,1,1,1
G-7-3,SMAP,"[[1230,1345]]",[contextual],1699,"[continuous,periodic]",frequency,frequency,frequency,0,0,1,1,1,1
P-1-1,SMAP,"[[2149,2349]]",[contextual],2944,[continuous],wave,wave,wave,1,0,1,1,1,1
P-1-2,SMAP,"[[595,835]]",[contextual],1213,[continuous],wave,wave,wave,1,0,1,1,1,1
P-1-3,SMAP,"[[378,686]]",[contextual],4348,[continuous],wave,wave,wave,1,0,0,0,1,1
P-2,SMAP,"[[5300, 6420]]",[point],8209,[continuous],magnitude,magnitude,magnitude,1,1,1,1,1,1
P-3,SMAP,"[[5401, 6736]]",[point],8493,[continuous],magnitude,magnitude,magnitude,1,1,1,1,1,1
P-4-1,SMAP,"[[950,1080]]",[point],1615,[binary],point,point,point,1,1,1,1,1,1
P-4-2,SMAP,"[[535,735]]",[point],1945,[binary],magnitude,magnitude,magnitude,1,1,1,1,1,1
P-4-3,SMAP,"[[1210,1320]]",[point],4223,[binary],point,point,point,1,1,1,1,1,1
P-7,SMAP,"[[4950, 6600]]",[contextual],8071,[continuous],magnitude,magnitude,magnitude,1,0,1,1,1,0
R-1,SMAP,"[[4510, 4590]]",[point],7244,[binary],point,point,point,1,1,1,1,1,1
S-1,SMAP,"[[5300, 5747]]",[point],7331,"[continuous,periodic]",magnitude,frequency,frequency,1,1,1,1,1,1
